ticker,date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
^DJI,2007-08-06,13183.13,13501.86,13077.05,13468.78,5067200000
^DJI,2007-08-07,13467.72,13635.09,13282.38,13504.3,4909390000
^DJI,2007-08-08,13497.23,13769.63,13386.92,13657.86,5499560000
^DJI,2007-08-09,13652.33,13675.66,13196.05,13270.68,5889600000
^DJI,2007-08-10,13270.59,13386.43,12958.04,13239.54,5345780000
^DJI,2007-08-13,13238.24,13440.08,13163.54,13236.53,3696280000
^DJI,2007-08-14,13235.72,13309.04,12974.3,13028.92,3814630000
^DJI,2007-08-15,13021.93,13184.51,12800.83,12861.47,4290930000
^DJI,2007-08-16,12859.52,12996.73,12455.92,12845.78,6509300000
^DJI,2007-08-17,12848.05,13289.7,12847.24,13079.08,3570040000
^DJI,2007-08-20,13078.51,13245.8,12938.77,13121.35,3321340000
^DJI,2007-08-21,13120.05,13228.57,12975.68,13090.86,3012150000
^DJI,2007-08-22,13088.26,13304.33,13075.34,13236.13,3309120000
^DJI,2007-08-23,13237.27,13358.22,13127.69,13235.88,3084390000
^DJI,2007-08-24,13231.78,13402.2,13174.27,13378.87,2541400000
^DJI,2007-08-27,13377.16,13438.46,13248.32,13322.13,2406180000
^DJI,2007-08-28,13318.43,13319.61,13024.29,13041.85,3078090000
^DJI,2007-08-29,13043.07,13336.93,13020.63,13289.29,2824070000
^DJI,2007-08-30,13287.91,13355.46,13126.39,13238.73,2582960000
^DJI,2007-08-31,13240.84,13472.35,13240.84,13357.74,2731610000
^DJI,2007-09-04,13358.39,13521.86,13248.57,13448.86,2766600000
^DJI,2007-09-05,13442.85,13442.85,13203.86,13305.47,2991600000
^DJI,2007-09-06,13306.44,13464.79,13217.11,13363.35,2459590000
^DJI,2007-09-07,13360.74,13360.74,13059.16,13113.38,3191080000
^DJI,2007-09-10,13116.39,13280.67,12992.02,13127.85,2835720000
^DJI,2007-09-11,13129.4,13369.77,13124.68,13308.39,3015330000
^DJI,2007-09-12,13298.31,13408.62,13195.4,13291.65,2885720000
^DJI,2007-09-13,13292.38,13519.91,13292.38,13424.88,2877080000
^DJI,2007-09-14,13421.39,13507.55,13273.68,13442.52,2641740000
^DJI,2007-09-17,13441.95,13514.71,13306.69,13403.42,2598390000
^DJI,2007-09-18,13403.18,13772.15,13379.68,13739.39,3708940000
^DJI,2007-09-19,13740.61,13936.68,13689.8,13815.56,3846750000
^DJI,2007-09-20,13813.52,13893.02,13680.21,13766.7,2957700000
^DJI,2007-09-21,13768.33,13948.95,13740.61,13820.19,3679460000
^DJI,2007-09-24,13821.57,13930.74,13702.89,13759.06,3131310000
^DJI,2007-09-25,13757.84,13847.1,13629.16,13778.65,3187770000
^DJI,2007-09-26,13779.3,13962.61,13741.26,13878.15,3237390000
^DJI,2007-09-27,13879.53,13991.63,13811.17,13912.94,2872180000
^DJI,2007-09-28,13912.94,13994.64,13802.96,13895.63,2925350000
^DJI,2007-10-01,13895.71,14147.3,13869.86,14087.55,3281990000
^DJI,2007-10-02,14087.14,14166.16,13951.72,14047.31,3101910000
^DJI,2007-10-03,14038.86,14090.48,13883.43,13968.05,3065320000
^DJI,2007-10-04,13967.89,14074.54,13894.98,13974.31,2690430000
^DJI,2007-10-05,13969.07,14169.49,13965.05,14066.01,2919030000
^DJI,2007-10-08,14065.36,14134.05,13747.41,14043.73,2040650000
^DJI,2007-10-09,14043.73,14198.83,13980.9,14164.53,2932040000
^DJI,2007-10-10,14165.02,14225.66,13963.26,14078.69,3044760000
^DJI,2007-10-11,14079.1,14279.96,13917.82,14015.12,3911260000
^DJI,2007-10-12,14016.34,14168.51,13949.85,14093.08,2788690000
^DJI,2007-10-15,14092.43,14157.38,13877.82,13984.8,3139290000
^DJI,2007-10-16,13986.34,14061.37,13810.68,13912.94,3234560000
^DJI,2007-10-17,13920.66,14075.84,13738.66,13892.54,3638070000
^DJI,2007-10-18,13887.9,13984.39,13746.22,13888.96,3203210000
^DJI,2007-10-19,13888.47,13888.47,13478.94,13522.02,4160970000
^DJI,2007-10-22,13521.62,13636.8,13337.9,13566.97,3471830000
^DJI,2007-10-23,13568.93,13754.91,13494.95,13676.23,3309120000
^DJI,2007-10-24,13675.58,13751.5,13423.74,13675.25,4003300000
^DJI,2007-10-25,13677.85,13819.78,13471.87,13671.92,4183960000
^DJI,2007-10-26,13675.66,13885.95,13622.01,13806.7,3612120000
^DJI,2007-10-29,13807.35,13966.18,13748.33,13870.26,3124480000
^DJI,2007-10-30,13869.04,13930.91,13719.8,13792.47,3212520000
^DJI,2007-10-31,13792.06,13990.65,13711.59,13930.01,3953070000
^DJI,2007-11-01,13924.16,13924.16,13522.75,13567.87,4241470000
^DJI,2007-11-02,13569.9,13708.58,13381.64,13595.1,4285990000
^DJI,2007-11-05,13592.58,13666.15,13393.67,13543.4,3819330000
^DJI,2007-11-06,13542.34,13716.55,13460.73,13660.94,3879160000
^DJI,2007-11-07,13646.72,13646.72,13269.46,13300.02,4353160000
^DJI,2007-11-08,13299.7,13463.66,13001.93,13266.29,5439720000
^DJI,2007-11-09,13261.17,13321.81,12920.65,13042.74,4587050000
^DJI,2007-11-12,13039.16,13238.73,12910.4,12987.55,4192520000
^DJI,2007-11-13,12975.11,13357.57,12975.11,13307.09,4141310000
^DJI,2007-11-14,13305.47,13465.2,13159.88,13231.01,4031470000
^DJI,2007-11-15,13230.68,13333.59,13007.95,13110.05,3941010000
^DJI,2007-11-16,13109.48,13293.44,12987.22,13176.79,4168870000
^DJI,2007-11-19,13176.3,13195.48,12871.14,12958.44,4119650000
^DJI,2007-11-20,12955.92,13179.23,12800.74,13010.14,4875150000
^DJI,2007-11-21,13006.65,13055.59,12725.39,12799.04,4076230000
^DJI,2007-11-23,12889.45,12981.56,12796.29,12980.88,1612720000
^DJI,2007-11-26,12979.99,13104.44,12707.26,12743.44,3706470000
^DJI,2007-11-27,12744.78,13040.38,12711.98,12958.44,4320720000
^DJI,2007-11-28,12958.04,13353.51,12958.04,13289.45,4508020000
^DJI,2007-11-29,13287.91,13399.03,13150.21,13311.73,3524730000
^DJI,2007-11-30,13314.25,13570.31,13225.32,13371.72,4422200000
